TA2018_V1_00,TA2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
1,Far North District,6679.719676,6692.149112
2,Whangarei District,2712.13052,2712.13052
3,Kaipara District,3108.710953,3108.710953
11,Thames-Coromandel District,2207.079168,2207.079168
12,Hauraki District,1270.087068,1270.087068
13,Waikato District,4403.282847,4450.632382
15,Matamata-Piako District,1755.407019,1755.407019
16,Hamilton City,110.3728233,110.93642
17,Waipa District,1470.074609,1470.074609
18,Otorohanga District,1999.172316,1999.172316
19,South Waikato District,1818.902232,1818.902232
20,Waitomo District,3534.799133,3534.799133
21,Taupo District,6333.586388,6964.024033
22,Western Bay of Plenty District,1951.030287,1951.030287
23,Tauranga City,135.1164046,135.1164046
24,Rotorua District,2408.999006,2618.946516
25,Whakatane District,4450.01875,4450.01875
26,Kawerau District,23.63192487,23.63192487
27,Opotiki District,3089.21892,3089.21892
28,Gisborne District,8385.826619,8385.826619
29,Wairoa District,4076.876449,4130.139895
30,Hastings District,5226.768785,5226.768785
31,Napier City,104.902836,104.902836
32,Central Hawke's Bay District,3333.046811,3333.046811
33,New Plymouth District,2205.524838,2205.524838
34,Stratford District,2163.418803,2163.418803
35,South Taranaki District,3575.136754,3575.136754
36,Ruapehu District,6734.40496,6734.40496
37,Whanganui District,2373.257629,2373.257629
38,Rangitikei District,4483.744379,4483.744379
39,Manawatu District,2566.736667,2566.736667
40,Palmerston North City,394.7046518,394.7046518
41,Tararua District,4364.57649,4364.57649
42,Horowhenua District,1063.990784,1063.990784
43,Kapiti Coast District,731.499998,731.499998
44,Porirua City,174.8097955,174.8097955
45,Upper Hutt City,539.8689961,539.8689961
46,Lower Hutt City,376.4034048,376.4034048
47,Wellington City,289.7759871,289.7759871
48,Masterton District,2300.195973,2300.195973
49,Carterton District,1179.968979,1179.968979
50,South Wairarapa District,2386.93692,2457.844834
51,Tasman District,9615.976035,9649.481524
52,Nelson City,422.195242,422.195242
53,Marlborough District,10457.74549,10470.53586
54,Kaikoura District,2046.791831,2046.791831
55,Buller District,7943.337089,7943.337089
56,Grey District,3474.304412,3515.449116
57,Westland District,11827.81438,11862.70905
58,Hurunui District,8640.921154,8654.458886
59,Waimakariri District,2217.43148,2217.43148
60,Christchurch City,1415.85532,1485.110992
62,Selwyn District,6380.886843,6552.582297
63,Ashburton District,6181.689033,6189.517195
64,Timaru District,2732.404945,2732.404945
65,Mackenzie District,7138.660624,7442.354157
66,Waimate District,3554.462613,3583.124245
67,Chatham Islands Territory,793.9472196,808.3261633
68,Waitaki District,7107.878543,7216.417199
69,Central Otago District,9933.423701,9968.473872
70,Queenstown-Lakes District,8719.706685,9375.197718
71,Dunedin City,3286.2578,3286.2578
72,Clutha District,6334.410483,6362.180291
73,Southland District,29552.35523,30198.4139
74,Gore District,1253.829457,1253.829457
75,Invercargill City,389.8756705,389.8756705
76,Auckland,4941.572557,4942.63913
999,Area Outside Territorial Authority,30.01097712,30.01097712
