Type,Location,Store,Lat,Long,Region
Countdown Metro,Albert Street,Countdown Metro Albert Street,-36.84350157,174.7658662,Central
Countdown Metro,Halsey Street,Countdown Metro Halsey Street,-36.84358106,174.7578066,Central
Distribution Centre,Auckland,Distribution Centre Auckland,-36.94904179,174.8080123,Distribution Centre Auckland
FreshChoice,Glen Eden,FreshChoice Glen Eden,-36.91087436,174.6545496,West
FreshChoice,Half Moon Bay,FreshChoice Half Moon Bay,-36.88106607,174.9002827,East
FreshChoice,Mangere Bridge,FreshChoice Mangere Bridge,-36.94250829,174.7869875,Central
FreshChoice,Otahuhu,FreshChoice Otahuhu,-36.94480584,174.8431184,East
FreshChoice,Ranui,FreshChoice Ranui,-36.86353948,174.6015834,West
SuperValue,Avondale,SuperValue Avondale,-36.89776863,174.69741,West
SuperValue,Flatbush,SuperValue Flatbush,-36.97676671,174.8972267,South
SuperValue,Palomino,SuperValue Palomino,-36.88287566,174.6161793,West
SuperValue,Papakura,SuperValue Papakura,-37.06606311,174.9556975,South
SuperValue,Titirangi,SuperValue Titirangi,-36.93739048,174.6572984,West
